Team,PredictedGold2028,PredictedTotal2028,Gold_lower95,Gold_upper95,Total_lower95,Total_upper95,ActualGold2024,ActualTotal2024,DeltaGold,DeltaTotal
CRC,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
MKD,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
SYR,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
TKM,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
LBA,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
VAN,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
ARU,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
MON,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
SUR,0.010433531764507063,0.04623412372979179,-6.989566468235493,7.010433531764507,-14.953765876270209,15.046234123729791,0.0,0.0,0.010433531764507063,0.04623412372979179
TOG,0.010433531764507063,0.04623412372979179,-6.989566468235493,7.010433531764507,-14.953765876270209,15.046234123729791,0.0,0.0,0.010433531764507063,0.04623412372979179
BEN,0.010433531764507063,0.04623412372979179,-6.989566468235493,7.010433531764507,-14.953765876270209,15.046234123729791,0.0,0.0,0.010433531764507063,0.04623412372979179
BAN,0.010433531764507063,0.04623412372979179,-6.989566468235493,7.010433531764507,-14.953765876270209,15.046234123729791,0.0,0.0,0.010433531764507063,0.04623412372979179
ANT,0.010433531764507063,0.04623412372979179,-6.989566468235493,7.010433531764507,-14.953765876270209,15.046234123729791,0.0,0.0,0.010433531764507063,0.04623412372979179
BIH,0.010433531764507063,0.04623412372979179,-6.989566468235493,7.010433531764507,-14.953765876270209,15.046234123729791,0.0,0.0,0.010433531764507063,0.04623412372979179
MLT,0.010433531764507063,0.04623412372979179,-6.989566468235493,7.010433531764507,-14.953765876270209,15.046234123729791,0.0,0.0,0.010433531764507063,0.04623412372979179
